source_type,geoid,name,class_code,status,path,reason
"county_subdivision","0100190171","Autaugaville CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100190315","Billingsley CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100192106","Marbury CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100192628","Prattville CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100390207","Bay Minette CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100390846","Daphne CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100390963","Elberta CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100391053","Fairhope CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100391152","Foley CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100392754","Robertsdale CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100393024","Stockton CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100393042","Summerdale CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100590189","Bakerhill CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100590630","Clayton CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100590648","Clio CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100591017","Eufaula CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100591989","Louisville CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100790531","Centreville-Brent CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100792601","Piper-Coleanor CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100793438","West Blocton CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100990333","Blountsville CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100990414","Brooksville CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100990612","Clarence CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100990639","Cleveland CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100991557","Hayden CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100991953","Locust Fork CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0100992439","Oneonta CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101191098","Fitzpatrick CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101191701","Inverness CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101192133","Midway CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101193249","Union Springs CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101390540","Chapman CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101391170","Forest Home CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101391314","Georgiana-McKenzie CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
"county_subdivision","0101391422","Greenville CCD","Z5","excluded","","Statistical, unorganized, or undefined subdivision"
